ABREV,Cage,dry.weight,lipid.weight,X.lipid,cage.treat,cage.treat2,timepoint
0-1a-1,founder,0.00369,0.00075,20.32520325,C,C,0
0-1a-2,founder,0.00376,0.00072,19.14893617,C,C,0
0-1a-3,founder,0.00384,0.00071,18.48958333,C,C,0
0-1a-4,founder,0.00412,0.0011,26.69902913,C,C,0
0-2a-1,founder,0.00375,0.00038,10.13333333,C,C,0
0-2a-2,founder,0.00314,0.00058,18.47133758,C,C,0
0-2a-3,founder,0.00361,0.00084,23.26869806,C,C,0
0-2a-4,founder,0.00461,0.0012,26.03036876,C,C,0
0-3a-1,founder,0.00353,0.00031,8.781869688,C,C,0
0-3a-2,founder,0.00454,9E-04,19.82378855,C,C,0
0-3a-3,founder,0.00336,0.00033,9.821428571,C,C,0
0-3a-4,founder,0.00461,0.0012,26.03036876,C,C,0
0-4a-1,founder,0.00344,0.00065,18.89534884,C,C,0
0-4a-2,founder,0.00326,0.00028,8.588957055,C,C,0
0-4a-3,founder,0.00296,0.00047,15.87837838,C,C,0
0-4a-4,founder,0.00326,0.00028,8.588957055,C,C,0
0-LB-1,founder,0.00419,0.00035,8.353221957,MA,LB,0
0-LB-2,founder,0.00414,0.00034,8.212560386,MA,LB,0
0-LB-3,founder,0.00419,0.00035,8.353221957,MA,LB,0
0-LB-4,founder,0.00414,0.00034,8.212560386,MA,LB,0
0-AT-1,founder,0.00346,0.00054,15.60693642,MA,AT,0
0-AT-2,founder,0.00356,0.00049,13.76404494,MA,AT,0
0-AT-3,founder,0.00346,0.00054,15.60693642,MA,AT,0
0-AT-4,founder,0.00356,0.00049,13.76404494,MA,AT,0
2A1a-1,A1,0.00459,0.00151,32.89760349,C,C,2
2A1a-2,A1,0.00316,0.00057,18.03797468,C,C,2
2A1a-3,A1,0.00369,0.0014,37.9403794,C,C,2
2A2a-1,A2,0.00368,0.00108,29.34782609,C,C,2
2A2a-2,A2,0.00355,0.00118,33.23943662,C,C,2
2A2a-3,A2,0.0037,0.00093,25.13513514,C,C,2
2A3a-1,A3,0.00394,0.00134,34.01015228,C,C,2
2A3a-2,A3,0.00378,0.00119,31.48148148,C,C,2
2A3a-3,A3,0.00372,0.00102,27.41935484,C,C,2
2A4a-1,A4,0.00377,0.00107,28.38196286,C,C,2
2A4a-2,A4,0.00446,0.00136,30.49327354,C,C,2
2A4a-3,A4,0.00391,0.00119,30.43478261,C,C,2
2A5a-1,A5,0.00332,0.001,30.12048193,C,C,2
2A5a-2,A5,0.00395,0.00134,33.92405063,C,C,2
2A5a-3,A5,0.00374,0.00119,31.81818182,C,C,2
2A6a-1,A6,0.00422,0.00136,32.22748815,C,C,2
2A6a-2,A6,0.00421,0.00144,34.20427553,C,C,2
2A6a-3,A6,0.0039,0.00135,34.61538462,C,C,2
2-1n-1,1,0.00274,0.00057,20.80291971,MA,LB,2
2-1n-2,1,0.0028,0.000825,29.46428571,MA,LB,2
2-1n-3,1,0.0029375,0.000625,21.27659574,MA,LB,2
2-2n-1,2,0.00288,5E-04,17.36111111,MA,AT,2
2-2n-2,2,0.0031,0.00114,36.77419355,MA,AT,2
2-2n-3,2,0.00354,0.0011,31.07344633,MA,AT,2
2-3n-1,3,0.00278,0.00042,15.10791367,MA,LB,2
2-3n-2,3,0.00308,0.00066,21.42857143,MA,LB,2
2-3n-3,3,0.00418,0.0011,26.31578947,MA,LB,2
2-4n-1,4,0.00347,0.00128,36.88760807,MA,AT,2
2-4n-2,4,0.00306,0.00062,20.26143791,MA,AT,2
2-4n-3,4,0.00358,0.00022,6.145251397,MA,AT,2
2-5n-1,5,0.00294,6E-04,20.40816327,MA,LB,2
2-5n-2,5,0.00678,0.00104,15.33923304,MA,LB,2
2-5n-3,5,0.00294,6E-04,20.40816327,MA,LB,2
2-6n-1,6,0.00344,0.00054,15.69767442,MA,AT,2
2-6n-2,6,0.00244,0.00072,29.50819672,MA,AT,2
2-6n-3,6,0.0033,9E-04,27.27272727,MA,AT,2
2-7n-1,7,0.00356,0.00098,27.52808989,MA,LB,2
2-7n-2,7,0.00278,9E-04,32.37410072,MA,LB,2
2-7n-3,7,0.00316,0.00092,29.11392405,MA,LB,2
2-8n-1,8,0.00262,4E-04,15.26717557,MA,AT,2
2-8n-2,8,0.00336,0.00062,18.45238095,MA,AT,2
2-8n-3,8,0.00356,9E-04,25.28089888,MA,AT,2
2-9n-1,9,0.00334,0.00074,22.15568862,MA,LB,2
2-9n-2,9,0.00353,0.00072,20.39660057,MA,LB,2
2-9n-3,9,0.00332,0.00073,21.98795181,MA,LB,2
2-10n-1,10,0.00366,0.001,27.32240437,MA,AT,2
2-10n-2,10,0.00256,0.0011,42.96875,MA,AT,2
2-10n-3,10,0.00396,8E-04,20.2020202,MA,AT,2
2-11n-1,11,0.00296,0.00051,17.22972973,MA,LB,2
2-11n-2,11,0.00296,4E-04,6.756756757,MA,LB,2
2-11n-3,11,0.00286,0.00045,15.73426573,MA,LB,2
2-12n-1,12,0.00244,0.00072,29.50819672,MA,AT,2
2-12n-2,12,0.00336,0.00062,18.45238095,MA,AT,2
2-12n-3,12,0.00366,0.001,27.32240437,MA,AT,2
4A1a-1,A1,0.00293,0.00042,14.33447099,C,C,4
4A1a-2,A1,0.00287,0.00029,10.10452962,C,C,4
4A1a-3,A1,0.00287,0.00051,17.77003484,C,C,4
4A2a-1,A2,0.00364,0.00074,20.32967033,C,C,4
4A2a-2,A2,0.00348,0.00083,23.85057471,C,C,4
4A2a-3,A2,0.00338,0.00057,16.86390533,C,C,4
4A3a-1,A3,0.00215,0.00026,12.09302326,C,C,4
4A3a-2,A3,0.00344,0.00085,24.70930233,C,C,4
4A3a-3,A3,0.00303,6E-04,19.8019802,C,C,4
4A4a-1,A4,0.00337,0.00078,23.14540059,C,C,4
4A4a-2,A4,0.00314,0.00073,23.24840764,C,C,4
4A4a-3,A4,0.00302,0.00059,19.53642384,C,C,4
4A5a-1,A5,0.00483,8E-04,16.563147,C,C,4
4A5a-2,A5,0.00338,0.00106,31.36094675,C,C,4
4A5a-3,A5,0.00272,0.00061,22.42647059,C,C,4
4A6a-1,A6,0.00329,0.00078,23.70820669,C,C,4
4A6a-2,A6,0.00297,0.00074,24.91582492,C,C,4
4A6a-3,A6,0.003,0.00093,31,C,C,4
4-1n-1,1,0.00371,0.00078,21.02425876,MA,LB,4
4-1n-2,1,0.00399,0.00082,20.55137845,MA,LB,4
4-1n-3,1,0.00346,0.00086,24.85549133,MA,LB,4
4-2n-1,2,0.00338,0.00063,18.63905325,MA,AT,4
4-2n-2,2,0.00361,0.00086,23.82271468,MA,AT,4
4-2n-3,2,0.00336,0.00068,20.23809524,MA,AT,4
4-3n-1,3,0.00326,0.00061,18.71165644,MA,LB,4
4-3n-2,3,0.00306,0.00053,17.32026144,MA,LB,4
4-3n-3,3,0.00649,0.000326,15.23112481,MA,LB,4
4-4n-1,4,0.00289,0.00032,11.07266436,MA,AT,4
4-4n-2,4,0.00329,0.00053,16.10942249,MA,AT,4
4-4n-3,4,0.00327,0.00057,17.43119266,MA,AT,4
4-5n-1,5,0.00314,0.00056,17.8343949,MA,LB,4
4-5n-2,5,0.00326,0.00058,17.79141104,MA,LB,4
4-5n-3,5,0.00331,0.00068,20.54380665,MA,LB,4
4-6n-1,6,0.00309,0.00063,20.38834951,MA,AT,4
4-6n-2,6,0.00349,8E-04,22.9226361,MA,AT,4
4-6n-3,6,0.00336,0.00078,23.21428571,MA,AT,4
4-7n-1,7,0.00352,0.00051,14.48863636,MA,LB,4
4-7n-2,7,0.00354,0.00075,21.18644068,MA,LB,4
4-7n-3,7,0.0036,0.00056,15.55555556,MA,LB,4
4-8n-1,8,0.00322,0.00056,17.39130435,MA,AT,4
4-8n-2,8,0.00312,0.00072,23.07692308,MA,AT,4
4-8n-3,8,0.00335,0.00067,20,MA,AT,4
4-9n-1,9,0.00337,0.00048,8.308605341,MA,LB,4
4-9n-2,9,0.00336,7E-04,20.83333333,MA,LB,4
4-9n-3,9,0.00344,0.00062,18.02325581,MA,LB,4
4-10n-1,10,0.00348,0.00076,21.83908046,MA,AT,4
4-10n-2,10,0.00344,0.00053,15.40697674,MA,AT,4
4-10n-3,10,0.0034,0.00062,18.23529412,MA,AT,4
4-11n-1,11,0.00315,0.00072,22.85714286,MA,LB,4
4-11n-2,11,0.0029,0.00058,20,MA,LB,4
4-11n-3,11,0.00314,0.00073,23.24840764,MA,LB,4
4-12n-1,12,0.00401,0.00067,16.70822943,MA,AT,4
4-12n-2,12,0.00465,0.00069,14.83870968,MA,AT,4
4-12n-3,12,0.00413,0.00016,3.87409201,MA,AT,4