Time.Point,FLY.1,FLY.2,FLY.3,FLY.4,FLY.5,FLY.6,FLY.7,FLY.8,FLY.9,FLY.10,FLY.11,FLY.12,FLY.13,FLY.14,FLY.15,AVG,STD,SE,cage.treat,cage.treat2,Cage,label
0,12,5,7,6,7,6,15,11,9,10,10,9,12,6,13,9.2,3.004758,0.775825,C,C,founder,0-founder-C
0,11,9,8,13,8,16,11,12,7,8,12,8,8,10,7,9.866667,2.587516,0.668094,C,C,founder,0-founder-C
0,14,10,9,8,7,15,15,11,11,10,13,13,12,8,8,10.933333,2.65832,0.686375,C,C,founder,0-founder-C
0,10,7,6,9,9,10,9,14,14,9,14,9,10,5,8,9.533333,2.722044,0.702829,C,C,founder,0-founder-C
0,8,8,8,15,10,9,5,16,15,9,7,16,15,7,14,10.8,3.87667,1.000952,MA,LB,founder,0-founder-LB
0,10,9,15,7,10,10,12,8,9,7,1,11,13,11,6,9.266667,3.305119,0.853378,MA,AT,founder,0-founder-AT
0,22,16,20,19,17,22,10,21,17,11,18,18,14,13,12,16.666667,3.921856,1.012619,C,C,founder,0-founder-C
2,8,12,12,7,9,10,9,8,13,15,15,12,10,17,16,11.533333,3.159265,0.815719,C,C,A1,2-A1-C
2,16,6,6,8,10,9,6,9,12,6,18,17,7,17,13,10.666667,4.498677,1.161553,C,C,A2,2-A2-C
2,14,11,10,13,9,10,8,16,11,10,16,13,10,9,11,11.4,2.472708,0.638451,C,C,A3,2-A3-C
2,13,10,10,18,7,2,12,7,14,11,6,12,8,8,12,10,3.854496,0.995227,C,C,A4,2-A4-C
2,7,11,9,6,11,10,8,8,5,12,17,12,8,12,9,9.666667,2.992053,0.772545,C,C,A5,2-A5-C
2,13,10,10,7,11,10,12,8,8,7,7,11,8,12,14,9.866667,2.294922,0.592546,C,C,A6,2-A6-C
2,9,9,9,11,11,11,8,9,7,16,16,15,13,13,13,11.333333,2.894987,0.747483,MA,LB,1,2-1-LB
2,6,15,11,4,9,6,10,14,10,10,11,6,21,9,7,9.933333,4.300609,1.110412,MA,AT,2,2-2-AT
2,12,8,6,11,15,14,7,10,8,8,10,11,10,10,10,10,2.44949,0.632456,MA,LB,3,2-3-LB
2,15,7,18,12,15,7,20,15,15,20,11,10,10,14,11,13.333333,4.117327,1.063089,MA,AT,4,2-4-AT
2,21,13,14,7,17,19,9,12,15,17,8,7,9,12,12,12.8,4.378519,1.130529,MA,LB,5,2-5-LB
2,15,7,6,8,16,11,12,12,10,15,19,7,10,13,15,11.733333,3.807261,0.983031,MA,AT,6,2-6-AT
2,12,15,16,11,12,10,12,9,12,14,8,11,9,16,10,11.8,2.512824,0.648808,MA,LB,7,2-7-LB
2,9,10,21,6,21,15,19,27,14,10,10,14,17,15,15,14.866667,5.540328,1.430507,MA,AT,8,2-8-AT
2,10,11,14,11,14,19,11,16,13,13,19,14,15,14,8,13.466667,3.067495,0.792024,MA,LB,9,2-9-LB
2,4,10,5,12,11,12,10,20,12,12,14,12,11,12,8,11,3.70328,0.956183,MA,AT,10,2-10-AT
2,15,13,14,7,13,14,13,9,7,8,19,12,7,8,16,11.666667,3.77334,0.974272,MA,LB,11,2-11-LB
2,15,13,11,13,10,8,11,12,13,12,13,9,7,8,10,11,2.299068,0.593617,MA,AT,12,2-12-AT
4,18,10,12,6,11,16,11,15,19,10,11,10,10,13,8,12,3.605551,0.930949,C,C,A1,4-A1-C
4,8,11,7,13,19,11,9,13,15,12,17,21,13,7,18,12.933333,4.366539,1.127436,C,C,A2,4-A2-C
4,15,13,12,10,10,18,6,8,19,18,14,14,7,9,10,12.2,4.109223,1.060997,C,C,A3,4-A3-C
4,18,14,7,9,15,10,15,10,12,10,11,10,12,14,14,12.066667,2.890049,0.746207,C,C,A4,4-A4-C
4,14,9,10,13,12,11,10,14,10,9,13,16,16,8,11,11.733333,2.520393,0.650763,C,C,A5,4-A5-C
4,14,7,8,9,10,13,14,14,14,13,12,14,12,12,7,11.533333,2.642149,0.6822,C,C,A6,4-A6-C
4,19,15,12,10,13,15,16,19,17,14,18,13,12,17,18,15.2,2.808151,0.725062,MA,LB,1,4-1-LB
4,18,21,14,16,10,12,14,9,15,20,12,17,16,9,14,14.466667,3.681356,0.950522,MA,AT,2,4-2-AT
4,12,12,15,7,13,14,9,14,10,15,14,12,10,19,13,12.6,2.898275,0.748331,MA,LB,3,4-3-LB
4,16,19,10,16,14,17,14,15,13,14,15,7,16,15,14,14.333333,2.845213,0.734631,MA,AT,4,4-4-AT
4,8,13,13,6,4,10,9,10,7,13,16,15,6,11,9,10,3.505098,0.905012,MA,LB,5,4-5-LB
4,21,18,13,11,13,15,15,19,8,19,11,9,14,13,11,14,3.854496,0.995227,MA,AT,6,4-6-AT
4,7,9,13,9,15,10,18,11,10,10,11,14,3,19,14,11.533333,4.120795,1.063985,MA,LB,7,4-7-LB
4,15,21,13,11,2,13,14,12,9,4,10,12,10,9,8,10.866667,4.501851,1.162373,MA,AT,8,4-8-AT
4,20,10,11,16,10,16,15,11,13,17,13,16,10,9,13,13.333333,3.221949,0.831904,MA,LB,9,4-9-LB
4,7,7,14,11,21,11,13,15,14,10,14,13,13,10,15,12.533333,3.481926,0.899029,MA,AT,10,4-10-AT
4,11,13,15,10,10,20,6,12,14,13,20,11,11,9,14,12.6,3.756898,0.970027,MA,LB,11,4-11-LB
4,20,11,17,17,9,15,10,13,7,10,12,14,13,14,13,13,3.40168,0.87831,MA,AT,12,4-12-AT
5,16,15,18,10,11,16,21,10,11,11,11,11,9,12,10,12.8,3.529468,0.911305,C,C,A1,5-A1-C
5,9,17,9,13,19,15,16,13,14,10,14,13,10,12,12,13.066667,2.914659,0.752562,C,C,A2,5-A2-C
5,17,12,11,10,10,8,18,12,5,14,7,13,9,12,9,11.133333,3.50238,0.904311,C,C,A3,5-A3-C
5,11,15,8,12,17,12,13,11,20,8,15,12,12,12,13,12.733333,3.104528,0.801586,C,C,A4,5-A4-C
5,16,8,12,10,11,11,9,11,12,10,10,10,12,17,15,11.6,2.557901,0.660447,C,C,A5,5-A5-C
5,11,9,13,12,12,8,9,19,9,10,11,8,13,11,9,10.933333,2.789436,0.720229,C,C,A6,5-A6-C
5,10,4,6,16,11,4,13,13,8,11,16,18,14,13,9,11.066667,4.283968,1.106116,MA,LB,1,5-1-LB
5,18,10,9,20,12,13,18,16,19,14,9,9,13,8,12,13.333333,4.029652,1.040452,MA,AT,2,5-2-AT
5,10,10,12,10,11,19,12,7,6,20,6,17,14,12,9,11.666667,4.30393,1.11127,MA,LB,3,5-3-LB
5,15,10,19,10,12,11,17,13,14,15,13,9,18,5,7,12.533333,3.97971,1.027557,MA,AT,4,5-4-AT
5,8,17,15,16,12,12,17,13,9,9,14,13,17,14,14,13.333333,2.94392,0.760117,MA,LB,5,5-5-LB
5,18,13,21,16,16,14,13,7,18,20,16,17,10,15,13,15.133333,3.661902,0.945499,MA,AT,6,5-6-AT
5,17,10,10,16,16,16,14,15,17,11,17,15,18,14,14,14.666667,2.554175,0.659485,MA,LB,7,5-7-LB
5,16,18,16,12,18,10,15,16,19,9,18,16,13,12,13,14.733333,3.081434,0.795623,MA,AT,8,5-8-AT
5,19,13,14,11,18,13,18,14,13,16,19,17,10,18,19,15.466667,3.067495,0.792024,MA,LB,9,5-9-LB
5,9,7,10,11,12,15,14,7,20,13,20,7,13,10,9,11.8,4.178175,1.0788,MA,AT,10,5-10-AT
5,20,12,7,12,9,13,14,10,12,10,21,5,11,12,19,12.466667,4.533473,1.170538,MA,LB,11,5-11-LB
5,20,19,18,9,14,14,15,15,22,10,22,17,18,19,10,16.133333,4.189556,1.081739,MA,AT,12,5-12-AT